,Trusted,YFinance,Diff
2010-06-15,25.87,25.8700008392334,8.392333974427402e-07
2010-06-16,25.92,25.920000076293945,7.629394360719743e-08
2010-06-17,25.05,25.049999237060547,7.629394538355427e-07
2010-06-18,23.95,23.950000762939453,7.629394538355427e-07
2010-06-21,24.88,24.8799991607666,8.392333974427402e-07
2010-06-22,27.05,27.049999237060547,7.629394538355427e-07
2010-06-23,26.91,26.90999984741211,1.5258789076710855e-07
2010-06-24,29.74,29.739999771118164,2.2888183437430598e-07
2010-06-25,28.53,28.530000686645508,6.866455066756316e-07
2010-06-28,29.0,29.0,0.0
2010-06-29,34.13,34.130001068115234,1.0681152318170462e-06
2010-06-30,34.54,34.540000915527344,9.155273446026513e-07
2010-07-01,32.86,32.86000061035156,6.103515630684342e-07
2010-07-02,30.12,30.1200008392334,8.392333974427402e-07
2010-07-06,29.65,29.649999618530273,3.8146972514141453e-07
2010-07-07,26.84,26.84000015258789,1.5258789076710855e-07
2010-07-08,25.71,25.709999084472656,9.155273446026513e-07
2010-07-09,24.98,24.979999542236328,4.5776367230132564e-07
2010-07-12,24.43,24.43000030517578,3.051757815342171e-07
2010-07-13,24.56,24.559999465942383,5.340576159085231e-07
2010-07-14,24.89,24.889999389648438,6.103515630684342e-07
2010-07-15,25.14,25.139999389648438,6.103515630684342e-07
2010-07-16,26.25,26.25,0.0
2010-07-19,25.97,25.969999313354492,6.866455066756316e-07
2010-07-20,23.93,23.93000030517578,3.051757815342171e-07
2010-07-21,25.64,25.639999389648438,6.103515630684342e-07
2010-07-22,24.63,24.6299991607666,8.392333974427402e-07
2010-07-23,23.47,23.469999313354492,6.866455066756316e-07
2010-07-26,22.73,22.729999542236328,4.5776367230132564e-07
2010-07-27,23.19,23.190000534057617,5.340576159085231e-07
2010-07-28,24.25,24.25,0.0
2010-07-29,24.13,24.1299991607666,8.392333974427402e-07
2010-07-30,23.5,23.5,0.0
2010-08-02,22.01,22.010000228881836,2.2888183437430598e-07
2010-08-03,22.63,22.6299991607666,8.392333974427402e-07
2010-08-04,22.21,22.209999084472656,9.155273446026513e-07
2010-08-05,22.1,22.100000381469727,3.8146972514141453e-07
2010-08-06,21.74,21.739999771118164,2.2888183437430598e-07
2010-08-09,22.14,22.139999389648438,6.103515630684342e-07
2010-08-10,22.37,22.3700008392334,8.392333974427402e-07
2010-08-11,25.39,25.389999389648438,6.103515630684342e-07
2010-08-12,25.73,25.729999542236328,4.5776367230132564e-07
2010-08-13,26.24,26.239999771118164,2.2888183437430598e-07
2010-08-16,26.1,26.100000381469727,3.8146972514141453e-07
2010-08-17,24.33,24.329999923706055,7.629394360719743e-08
2010-08-18,24.59,24.59000015258789,1.5258789076710855e-07
2010-08-19,26.44,26.440000534057617,5.340576159085231e-07
2010-08-20,25.49,25.489999771118164,2.2888183437430598e-07
2010-08-23,25.66,25.65999984741211,1.5258789076710855e-07
2010-08-24,27.46,27.459999084472656,9.155273446026513e-07
2010-08-25,26.7,26.700000762939453,7.629394538355427e-07
2010-08-26,27.37,27.3700008392334,8.392333974427402e-07
2010-08-27,24.45,24.450000762939453,7.629394538355427e-07
2010-08-30,27.21,27.209999084472656,9.155273446026513e-07
2010-08-31,26.05,26.049999237060547,7.629394538355427e-07
2010-09-01,23.89,23.889999389648438,6.103515630684342e-07
2010-09-02,23.19,23.190000534057617,5.340576159085231e-07
2010-09-03,21.31,21.309999465942383,5.340576159085231e-07
2010-09-07,23.8,23.799999237060547,7.629394538355427e-07
2010-09-08,23.25,23.25,0.0
2010-09-09,22.81,22.809999465942383,5.340576159085231e-07
2010-09-10,21.99,21.989999771118164,2.2888183437430598e-07
2010-09-13,21.21,21.209999084472656,9.155273446026513e-07
2010-09-14,21.56,21.559999465942383,5.340576159085231e-07
2010-09-15,22.1,22.100000381469727,3.8146972514141453e-07
2010-09-16,21.72,21.719999313354492,6.866455066756316e-07
2010-09-17,22.01,22.010000228881836,2.2888183437430598e-07
2010-09-20,21.5,21.5,0.0
2010-09-21,22.35,22.350000381469727,3.8146972514141453e-07
2010-09-22,22.51,22.510000228881836,2.2888183437430598e-07
2010-09-23,23.87,23.8700008392334,8.392333974427402e-07
2010-09-24,21.71,21.709999084472656,9.155273446026513e-07
2010-09-27,22.54,22.540000915527344,9.155273446026513e-07
2010-09-28,22.6,22.600000381469727,3.8146972514141453e-07
2010-09-29,23.25,23.25,0.0
2010-09-30,23.7,23.700000762939453,7.629394538355427e-07
2010-10-01,22.5,22.5,0.0
2010-10-04,23.53,23.530000686645508,6.866455066756316e-07
2010-10-05,21.76,21.760000228881836,2.2888183437430598e-07
2010-10-06,21.49,21.489999771118164,2.2888183437430598e-07
2010-10-07,21.56,21.559999465942383,5.340576159085231e-07
2010-10-08,20.71,20.709999084472656,9.155273446026513e-07
2010-10-11,18.96,18.959999084472656,9.155273446026513e-07
2010-10-12,18.93,18.93000030517578,3.051757815342171e-07
2010-10-13,19.07,19.06999969482422,3.051757815342171e-07
2010-10-14,19.88,19.8799991607666,8.392333974427402e-07
2010-10-15,19.03,19.030000686645508,6.866455066756316e-07
2010-10-18,19.09,19.09000015258789,1.5258789076710855e-07
2010-10-19,20.63,20.6299991607666,8.392333974427402e-07
2010-10-20,19.79,19.790000915527344,9.155273446026513e-07
2010-10-21,19.27,19.270000457763672,4.5776367230132564e-07
2010-10-22,18.78,18.780000686645508,6.866455066756316e-07
2010-10-25,19.85,19.850000381469727,3.8146972514141453e-07
2010-10-26,20.22,20.219999313354492,6.866455066756316e-07
2010-10-27,20.71,20.709999084472656,9.155273446026513e-07
2010-10-28,20.88,20.8799991607666,8.392333974427402e-07
2010-10-29,21.2,21.200000762939453,7.629394538355427e-07
2010-11-01,21.83,21.829999923706055,7.629394360719743e-08
2010-11-02,21.57,21.56999969482422,3.051757815342171e-07
2010-11-03,19.56,19.559999465942383,5.340576159085231e-07
2010-11-04,18.52,18.520000457763672,4.5776367230132564e-07
2010-11-05,18.26,18.260000228881836,2.2888183437430598e-07
2010-11-08,18.29,18.290000915527344,9.155273446026513e-07
2010-11-09,19.08,19.079999923706055,7.629394360719743e-08
2010-11-10,18.47,18.469999313354492,6.866455066756316e-07
2010-11-11,18.64,18.639999389648438,6.103515630684342e-07
2010-11-12,20.61,20.610000610351562,6.103515630684342e-07
2010-11-15,20.2,20.200000762939453,7.629394538355427e-07
2010-11-16,22.58,22.579999923706055,7.629394360719743e-08
2010-11-17,21.76,21.760000228881836,2.2888183437430598e-07
2010-11-18,18.75,18.75,0.0
2010-11-19,18.04,18.040000915527344,9.155273446026513e-07
2010-11-22,18.37,18.3700008392334,8.392333974427402e-07
2010-11-23,20.63,20.6299991607666,8.392333974427402e-07
2010-11-24,19.56,19.559999465942383,5.340576159085231e-07
2010-11-26,22.22,22.219999313354492,6.866455066756316e-07
2010-11-29,21.53,21.530000686645508,6.866455066756316e-07
2010-11-30,23.54,23.540000915527344,9.155273446026513e-07
2010-12-01,21.36,21.360000610351562,6.103515630684342e-07
2010-12-02,19.39,19.389999389648438,6.103515630684342e-07
2010-12-03,18.01,18.010000228881836,2.2888183437430598e-07
2010-12-06,18.02,18.020000457763672,4.5776367230132564e-07
2010-12-07,17.99,17.989999771118164,2.2888183437430598e-07
2010-12-08,17.74,17.739999771118164,2.2888183437430598e-07
2010-12-09,17.25,17.25,0.0
2010-12-10,17.61,17.610000610351562,6.103515630684342e-07
2010-12-13,17.55,17.549999237060547,7.629394538355427e-07
2010-12-14,17.61,17.610000610351562,6.103515630684342e-07
2010-12-15,17.94,17.940000534057617,5.340576159085231e-07
2010-12-16,17.39,17.389999389648438,6.103515630684342e-07
2010-12-17,16.11,16.110000610351562,6.103515630684342e-07
2010-12-20,16.41,16.40999984741211,1.5258789076710855e-07
2010-12-21,16.49,16.489999771118164,2.2888183437430598e-07
2010-12-22,15.45,15.449999809265137,1.9073486257070726e-07
2010-12-23,16.47,16.469999313354492,6.866455066756316e-07
2010-12-27,17.67,17.670000076293945,7.629394360719743e-08
2010-12-28,17.52,17.520000457763672,4.5776367230132564e-07
2010-12-29,17.28,17.280000686645508,6.866455066756316e-07
2010-12-30,17.52,17.520000457763672,4.5776367230132564e-07
2010-12-31,17.75,17.75,0.0
2011-01-03,17.61,17.610000610351562,6.103515630684342e-07
2011-01-04,17.38,17.3799991607666,8.392333974427402e-07
2011-01-05,17.02,17.020000457763672,4.5776367230132564e-07
2011-01-06,17.4,17.399999618530273,3.8146972514141453e-07
2011-01-07,17.14,17.139999389648438,6.103515630684342e-07
2011-01-10,17.54,17.540000915527344,9.155273446026513e-07
2011-01-11,16.89,16.889999389648438,6.103515630684342e-07
2011-01-12,16.24,16.239999771118164,2.2888183437430598e-07
2011-01-13,16.39,16.389999389648438,6.103515630684342e-07
2011-01-14,15.46,15.460000038146973,3.814697180359872e-08
2011-01-18,15.87,15.869999885559082,1.1444091718715299e-07
2011-01-19,17.31,17.309999465942383,5.340576159085231e-07
2011-01-20,17.99,17.989999771118164,2.2888183437430598e-07
2011-01-21,18.47,18.469999313354492,6.866455066756316e-07
2011-01-24,17.65,17.649999618530273,3.8146972514141453e-07
2011-01-25,17.59,17.59000015258789,1.5258789076710855e-07
2011-01-26,16.64,16.639999389648438,6.103515630684342e-07
2011-01-27,16.15,16.149999618530273,3.8146972514141453e-07
2011-01-28,20.04,20.040000915527344,9.155273446026513e-07
2011-01-31,19.53,19.530000686645508,6.866455066756316e-07
2011-02-01,17.63,17.6299991607666,8.392333974427402e-07
2011-02-02,17.3,17.299999237060547,7.629394538355427e-07
2011-02-03,16.69,16.690000534057617,5.340576159085231e-07
2011-02-04,15.93,15.930000305175781,3.051757815342171e-07
2011-02-07,16.28,16.280000686645508,6.866455066756316e-07
2011-02-08,15.81,15.8100004196167,4.196166987213701e-07
2011-02-09,15.87,15.869999885559082,1.1444091718715299e-07
2011-02-10,16.09,16.09000015258789,1.5258789076710855e-07
2011-02-11,15.69,15.6899995803833,4.196166987213701e-07
2011-02-14,15.95,15.949999809265137,1.9073486257070726e-07
2011-02-15,16.37,16.3700008392334,8.392333974427402e-07
2011-02-16,16.72,16.719999313354492,6.866455066756316e-07
